pre_root_id,post_root_id,activity
720575940606567125,720575940631995167,0.45613062
720575940606567125,720575940613524973,0.1834451
720575940606567125,720575940636541285,0.3071748
720575940606567125,720575940607001474,0.068291545
720575940606567125,720575940625178768,0.13765967
720575940606567125,720575940618098459,0.022237897
720575940606567125,720575940635210859,0.19217992
720575940612446866,720575940617593233,0.4425347
720575940612446866,720575940614128691,0.3310628
720575940612446866,720575940632648612,0.98361397
720575940612446866,720575940647033396,0.18149793
720575940612446866,720575940606866377,0.5457629
720575940612446866,720575940628500540,0.26549947
720575940612446866,720575940623158154,0.12695467
720575940612446866,720575940636592270,0.26570904
720575940612446866,720575940655011489,0.3834083
720575940612446866,720575940626191306,0.67148733
720575940612446866,720575940617597268,0.5171088
720575940612446866,720575940625526805,0.2277422
720575940612446866,720575940637790527,0.5147195
720575940612446866,720575940638663221,0.49291348
720575940612446866,720575940635179871,0.84917927
720575940612446866,720575940623804106,0.24013889
720575940612446866,720575940614604962,0.41439462
720575940612446866,720575940635196779,0.6948366
720575940612446866,720575940606567125,1.893197
720575940612446866,720575940635196779,0.2868358
720575940612446866,720575940627444490,0.9044081
720575940612446866,720575940629752190,0.6191267
720575940612446866,720575940638237662,0.91773677
720575940612446866,720575940660313729,0.67072344
720575940612446866,720575940635507380,0.99717903
720575940612446866,720575940616317211,0.725857
720575940612446866,720575940606567125,1.8258812
720575940612446866,720575940633366498,0.9011642
720575940612446866,720575940637790527,0.7666725
720575940612446866,720575940633366498,0.36212766
720575940612446866,720575940625601594,0.62507784
720575940612446866,720575940615603851,0.17232263
720575940612446866,720575940617597268,0.009102702
720575940612446866,720575940621252468,0.61466706
720575940612446866,720575940618098459,0.56612635
720575940612446866,720575940620467115,0.61796796
720575940612446866,720575940636608142,0.109892845
720575940612446866,720575940610752068,0.84433746
720575940612446866,720575940625178768,0.003412366
720575940612446866,720575940641632653,0.7397336
720575940612446866,720575940623696362,0.63347924
720575940612446866,720575940610916465,0.37635982
720575940612446866,720575940660313729,0.12096429
720575940612446866,720575940635179871,0.15202677
720575940612446866,720575940620633070,0.5447495
720575940612446866,720575940629752190,0.19546032
720575940612446866,720575940610916465,0.5198612
720575940612446866,720575940629317450,0.92979085
720575940612446866,720575940647033396,0.30774498
720575940612446866,720575940610550830,0.6865443
720575940612446866,720575940626815120,0.9893204
720575940612446866,720575940635210859,0.9020066
720575940612446866,720575940628524150,0.031040668
720575940612446866,720575940642335373,0.4102372
720575940612446866,720575940625601594,0.38913107
720575940612446866,720575940628683063,0.9394275
720575940612446866,720575940606866377,0.20633817
720575940612446866,720575940620467115,0.016364813
720575940612446866,720575940625526805,0.6836846
720575940612446866,720575940627444490,0.4351201
720575940612446866,720575940617398745,0.9549117
720575940612446866,720575940614128691,0.50762093
720575940612446866,720575940625178768,0.38269842
720575940612446866,720575940621218694,0.45052433
720575940612446866,720575940625047484,0.41573715
720575940612446866,720575940618098459,0.70882046
720575940612446866,720575940623737525,0.16705084
720575940612446866,720575940625594604,0.75308466
720575940612446866,720575940642335373,0.9003618
720575940612446866,720575940640177280,0.37409747
720575940612446866,720575940625594604,0.75254
720575940612446866,720575940627588218,0.2329427
720575940612446866,720575940614604962,0.9399911
720575940612446866,720575940627513210,0.43992305
720575940612446866,720575940617398745,0.05085373
720575940612446866,720575940616317211,0.5070708
720575940612446866,720575940623224555,0.6165023
720575940612446866,720575940626444051,0.3807789
720575940612446866,720575940635507380,0.13688123
720575940612446866,720575940615950109,0.026144743
720575940612446866,720575940610550830,0.28515148
720575940618388463,720575940628524150,0.71731424
720575940618388463,720575940617597268,0.067115426
720575940618388463,720575940624404872,0.9539157
720575940618388463,720575940626014218,0.48918307
720575940618388463,720575940620181825,0.3251462
720575940618388463,720575940634407566,0.43289363
720575940618388463,720575940621042928,0.17567813
720575940618388463,720575940620181825,0.99225163
720575940618388463,720575940636541285,0.004397273
720575940618388463,720575940623064909,0.099534035
720575940618388463,720575940633644183,0.91081476
720575940618388463,720575940610916465,0.72325945
720575940618388463,720575940647033396,0.20607674
720575940618388463,720575940632556831,0.68013775
720575940618388463,720575940647033396,0.80626404
720575940618388463,720575940608664184,0.4605477
720575940618388463,720575940620553094,0.3064543
720575940618388463,720575940604891360,0.19733572
720575940618388463,720575940614635175,0.6000904
720575940618388463,720575940608664184,0.35763824
720575940618388463,720575940621089741,0.35696638
720575940618388463,720575940617648197,0.24912035
720575940618388463,720575940634407566,0.8181317
720575940618388463,720575940623207885,0.14898694
720575940618388463,720575940619696133,1.3224279
720575940618388463,720575940623207885,0.15274727
720575940618388463,720575940635642725,0.45367825
720575940618388463,720575940605158572,0.5208148
720575940618388463,720575940634186906,0.9175477
720575940618388463,720575940612692633,0.44572008
720575940618388463,720575940645537902,0.85430896
720575940618388463,720575940644750116,0.78908503
720575940618388463,720575940610916465,0.6632134
720575940618388463,720575940613524973,0.1674825
720575940618388463,720575940629317450,0.28721988
720575940618388463,720575940634462304,0.09501505
720575940618388463,720575940628524150,0.94341505
720575940618388463,720575940635210859,0.013276577
720575940618388463,720575940620467115,0.8924738
720575940618388463,720575940613524973,0.33856046
720575940618388463,720575940608090069,0.23808312
720575940618388463,720575940632556831,0.8445374
720575940618388463,720575940604891360,0.22059488
720575940618388463,720575940642335373,0.05805087
720575940618388463,720575940620553094,0.51123357
720575940618388463,720575940635507380,0.6578511
720575940618388463,720575940605158572,0.86427534
720575940618388463,720575940637956698,0.24474394
720575940618388463,720575940608090069,0.22533762
720575940618388463,720575940626572802,0.116194606
720575940618388463,720575940619696133,1.3289958
720575940618388463,720575940635642725,0.46921837
720575940618388463,720575940626622339,0.6641104
720575940618388463,720575940626622339,0.24742544
720575940618388463,720575940633644183,0.9449817
720575940614190709,720575940627020487,0.5714413
720575940614190709,720575940619034782,0.27580094
720575940614190709,720575940619034782,0.3748752
720575940614190709,720575940642335373,0.35681224
720575940614190709,720575940632000104,0.100738645
720575940614190709,720575940637956698,0.61646235
720575940614190709,720575940632706970,0.78868043
720575940614190709,720575940626022218,0.6463158
720575940614190709,720575940630456028,0.453941
720575940614190709,720575940637562469,1.3733114
720575940614190709,720575940624377323,0.7308258
720575940614190709,720575940619625792,0.012019038
720575940614190709,720575940630456028,0.117017746
720575940614190709,720575940626572802,0.69271815
720575940614190709,720575940629593401,0.23042393
720575940614190709,720575940624377323,0.9436451
720575940614190709,720575940620181825,0.5208571
720575940614190709,720575940633320628,0.5951637
720575940614190709,720575940615929373,1.1656282
720575940614190709,720575940637562469,1.1407858
720575940614190709,720575940645126020,0.40688825
720575940614190709,720575940627514627,0.83587646
720575940614190709,720575940618586862,0.32942808
720575940614190709,720575940628659305,0.90953314
720575940614190709,720575940631412778,0.22483099
720575940614190709,720575940657653633,0.9198438
720575940614190709,720575940640177280,0.17385995
720575940614190709,720575940605158572,0.528311
720575940614190709,720575940640177280,0.6084323
720575940614190709,720575940634407566,0.54517746
720575940614190709,720575940635210859,0.24136007
720575940614190709,720575940627020487,0.75431705
720575940614190709,720575940639264590,0.15672052
720575940614190709,720575940624746940,0.9326992
720575940614190709,720575940620553094,0.7035363
720575940614190709,720575940604891360,0.638639
720575940614190709,720575940635642725,0.6893896
720575940614190709,720575940629593401,0.66171336
720575940614190709,720575940626022218,0.50975215
720575940614190709,720575940615903259,1.5022762
720575940614190709,720575940623626288,0.9365674
720575940614190709,720575940621089741,0.3121792
720575940614190709,720575940615853851,1.0923821
720575940614190709,720575940629861163,0.5746788
720575940614190709,720575940614635175,0.7123468
720575940614190709,720575940604621257,0.42668724
720575940614190709,720575940628478449,0.61765146
720575940614190709,720575940632852124,0.25433707
720575940614190709,720575940618878401,0.15169203
720575940614190709,720575940610956334,0.4012953
720575940614190709,720575940611878258,0.37454593
720575940614190709,720575940621089741,0.41565514
720575940614190709,720575940626217744,0.3991121
720575940614190709,720575940629401163,0.75916004
720575940614190709,720575940631742381,0.4309131
